index,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
RPAD5,RPAD5,PNA,ALFA HOLDINGS PNA,Intermediários Financeiros,Bancos,6.90,2022-12-12,6.55,9.49,1037,584306000,518833000,2022-09-30,84682000,928,055,-13681,-,054,937,938,8.2%,-12148,-12148,-31.3%,074,1266,-,-,0.0%,-0.4%,-0.4%,5.9%,1472,-,-,1076700000,65473000,66933000,0,-65473000,1072040000,0,-4271000,62961000,0,-1059000,41358000,,,,,,
BMIN4,BMIN4,PN,BANCO MERCANTIL DE INVESTIMENTOS SA PN,Intermediários Financeiros,Bancos,13.00,2022-12-05,12.25,18.35,922,62725000,-,2022-09-30,4825000,947,047,-,-,-,-,-,6.5%,-,-,15.3%,137,2779,-,-,0.0%,0.0%,-,4.9%,-,-,-,272689000,,,,,134104000,,,6623000,,,1738000,0,0,21783000,4500000,5834000,475000
CRIV4,CRIV4,PN,ALFA FINANCEIRA PN,Intermediários Financeiros,Soc. Crédito e Financiamento,5.30,2022-12-09,4.34,5.99,22337,545598000,-,2022-09-30,102943000,969,052,-,-,-,-,-,8.7%,-,-,2.5%,055,1027,-,-,0.0%,0.0%,-,5.3%,-,-,-,9529010000,,,,,1057520000,,,56306000,,,3367000,0,0,347439000,58265000,78326000,17528000
CRIV3,CRIV3,ON,ALFA FINANCEIRA ON,Intermediários Financeiros,Soc. Crédito e Financiamento,5.35,2022-12-12,2.92,5.36,13377,550745000,-,2022-09-30,102943000,978,052,-,-,-,-,-,0.5%,-,-,2.5%,055,1027,-,-,0.0%,0.0%,-,5.3%,-,-,-,9529010000,,,,,1057520000,,,56306000,,,3367000,0,0,347439000,58265000,78326000,17528000
RPAD3,RPAD3,ON,ALFA HOLDINGS ON,Intermediários Financeiros,Bancos,7.40,2022-12-06,5.79,7.99,1348,626647000,561174000,2022-09-30,84682000,995,058,-14672,-,058,1004,1006,0.0%,-13139,-13139,-31.3%,074,1266,-,-,0.0%,-0.4%,-0.4%,5.9%,1472,-,-,1076700000,65473000,66933000,0,-65473000,1072040000,0,-4271000,62961000,0,-1059000,41358000,,,,,,
BSLI3,BSLI3,ON,BRB ON,Intermediários Financeiros,Bancos,16.00,2022-12-12,16.00,29.55,1176,5808750000,-,2022-06-30,363047000,1041,239,-,-,-,-,-,6.5%,-,-,-0.4%,154,671,-,-,0.0%,0.0%,-,22.9%,-,-,-,37444900000,,,,,2434960000,,,558244000,,,121626000,0,0,1318920000,254584000,465728000,66455000
BPAN4,BPAN4,PN,BANCO PAN PN,Intermediários Financeiros,Bancos,5.99,2022-12-12,5.99,12.06,27575900,7824930000,-,2022-09-30,1306330000,1077,100,-,-,-,-,-,3.8%,-,-,17.5%,056,596,-,-,0.0%,0.0%,-,9.3%,-,-,-,55785100000,,,,,7791630000,,,726331000,,,171370000,33813400000,25540200000,6845510000,749782000,1900550000,196712000
BPAC11,BPAC11,UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,21.78,2022-12-12,18.33,29.41,385001000,83534400000,-,2022-09-30,11506100000,1168,198,-,-,-,-,-,2.4%,-,-,45.7%,187,1102,-,-,0.0%,0.0%,-,16.9%,-,-,-,368818000000,,,,,42262000000,,,7154940000,,,2187660000,63070700000,100326000000,9194880000,3369110000,2482100000,1048640000
BGIP3,BGIP3,ON,BANESE ON,Intermediários Financeiros,Bancos,26.79,2022-11-30,26.79,34.79,326,409485000,-,2022-09-30,15285000,1333,070,-,-,-,-,-,3.7%,-,-,0.1%,201,3810,-,-,0.0%,0.0%,-,5.3%,-,-,-,8055550000,,,,,582335000,,,30722000,,,3047000,3140310000,6802520000,370348000,126036000,97235000,32523000
BMIN3,BMIN3,ON,BANCO MERCANTIL DE INVESTIMENTOS SA ON,Intermediários Financeiros,Bancos,19.50,2022-11-09,19.00,23.00,48,94087500,-,2022-09-30,4825000,1421,070,-,-,-,-,-,0.0%,-,-,15.3%,137,2779,-,-,0.0%,0.0%,-,4.9%,-,-,-,272689000,,,,,134104000,,,6623000,,,1738000,0,0,21783000,4500000,5834000,475000
PINE4,PINE4,PN,Pine PN,Intermediários Financeiros,Bancos,1.71,2022-12-12,0.99,1.90,219802,318814000,-,2022-09-30,186441000,1600,037,-,-,-,-,-,0.0%,-,-,17.3%,011,460,-,-,0.0%,0.0%,-,2.3%,-,-,-,15112900000,,,,,857607000,,,19929000,,,12213000,3733190000,7685260000,171117000,36202000,38137000,12366000
